sessionID: 102
Game: GP2
gameID: P2
numPatches: 6
initialHerdSize: 10
numHH: 1
numYears: 1
numPhases: 2
hasChoosingShared?: true
hasChoosingPrivate?: false
hasForage?: false
maxPrivateSquares: 1
baseSquaresPerDay: 3
pS_base: 1
HpA_base: 1
dP_dHpA: 0.1
harvest_day: 60
dP_dfNeeds: 0.2
needsDays: 10
initialScore: 100
phaseLengthDays: 4
probDeathPoor: 0.6
probDeathOk: 0.2
probDeathGood: 0
grassR: 0.4
grassK: 200
grassE0: 5
showToggleButton: true
animalNeeds: 8
downThreshold: 0.6
upThreshold: 0.8
grassUndergroundFraction: 0.1
maxColorRain: 10
grass_1: 5
grass_2: 5
grass_3: 0
grass_4: 0
grass_5: 0
grass_6: 3
grass_7: 4
grass_8: 0
grass_9: 0
grass_10: 4
grass_11: 4
grass_12: 3
grass_13: 0
grass_14: 3
grass_15: 4
grass_16: 0
clim_1: 2
clim_2: 4
clim_3: 6
clim_4: 3
clim_5: 0
clim_6: 6
clim_7: 6
clim_8: 0
phase_1: P
phase_2: P
phase_3: P
phase_4: P
phase_5: P
phase_6: P
phase_7: P
phase_8: P

Choosing shared land at 10:42:14.021 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 2 0 at 10:45:38.422 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 0 at 10:45:38.570 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 4 0 at 10:45:38.920 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 0 at 10:45:39.137 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 2 0 at 10:45:40.388 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 5 at 10:45:45.770 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 5 at 10:45:46.281 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 4 at 10:45:46.885 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 4 at 10:45:47.348 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 3 at 10:45:48.270 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 3 at 10:45:48.478 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 3 at 10:45:49.017 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 4 at 10:45:49.332 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 4 at 10:45:58.110 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 3 at 10:45:58.450 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 4 3 at 10:45:58.784 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 4 4 at 10:45:58.934 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 4 5 at 10:45:59.325 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 3 at 10:45:59.785 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 4 at 10:46:00.059 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 5 at 10:46:00.327 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 5 at 10:46:01.705 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 4 at 10:46:02.228 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 3 at 10:46:02.606 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 2 at 10:46:03.266 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 1 at 10:46:04.108 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 0 at 10:46:05.483 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 0 at 10:47:01.724 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 1 at 10:47:01.860 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 1 at 10:47:02.192 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 3 at 10:47:02.912 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 1 at 10:47:03.743 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 2 at 10:47:03.970 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 4 at 10:47:05.019 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 5 at 10:47:05.360 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 5 at 10:47:10.726 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 4 at 10:47:11.560 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 3 at 10:47:12.043 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 2 at 10:47:14.000 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 1 at 10:47:14.824 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 1 at 10:47:20.175 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 2 at 10:47:20.318 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 3 at 10:47:20.625 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 4 at 10:47:21.143 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 5 at 10:47:21.525 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 5 at 10:47:24.212 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 4 at 10:47:24.791 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 3 at 10:47:25.391 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 2 at 10:47:26.291 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 2 at 10:47:28.725 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 3 at 10:47:31.033 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 4 at 10:47:33.856 AM 16-Oct-2021
