	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	mean_grass_shared_used	mean_grass_public_used	mean_grass_cut	var_grass_cut	mean_grass_live	var_grass_live	frac_shared_used	conflictCount	mean_animals	var_animals	mean_grass_shared_used	mean_grass_public_used	mean_grass_cut	var_grass_cut	mean_grass_live	var_grass_live	frac_shared_used	conflictCount	mean_animals	var_animals
																				
	(0.992)	(0.394)	(0.102)	(69.22)	(0.326)	(24.83)	(0.00576)	(0.0445)	(0.0167)	(0.0715)	(1.111)	(0.292)	(0.119)	(74.42)	(0.265)	(27.22)	(0.00683)	(0.0400)	(0.0201)	(0.0564)
mean_animals	8.780**	-2.129	0.586	290.5	0.166	398.3***	-0.110***	-0.244**			-2.221	-6.649***	-0.453	-435.3	-5.109***	35.74	0.0703	-0.0736		
	(3.144)	(2.092)	(0.530)	(324.2)	(1.511)	(126.5)	(0.0343)	(0.113)			(4.123)	(1.674)	(0.805)	(482.3)	(1.059)	(120.1)	(0.0491)	(0.0704)		
Constant	8,747	8,768**	-373.1	1.387e+06	11,292***	616,772**	-317.0**	-63.26	-1,134***	390.0	186.2***	116.4***	27.04***	7,194	123.2***	4,153***	-0.563	1.358*	8.726***	3.834***
	(10,459)	(3,772)	(1,634)	(1.068e+06)	(3,340)	(230,923)	(121.6)	(180.1)	(147.9)	(549.8)	(38.58)	(16.10)	(7.408)	(4,275)	(9.945)	(1,091)	(0.420)	(0.782)	(0.395)	(0.966)
																				
Observations	240	240	240	240	240	240	240	240	240	240	264	264	264	264	264	264	264	264	264	264
R-squared	0.509	0.815	0.861	0.853	0.813	0.619	0.639	0.260	0.910	0.230	0.216	0.764	0.657	0.685	0.779	0.439	0.265	0.136	0.814	0.059
Robust standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
