sessionID: 203
Game: GP2
gameID: P2
numPatches: 6
initialHerdSize: 10
numHH: 1
numYears: 1
numPhases: 2
hasChoosingShared?: true
hasChoosingPrivate?: false
hasForage?: false
maxPrivateSquares: 1
baseSquaresPerDay: 3
pS_base: 1
HpA_base: 1
dP_dHpA: 0.1
harvest_day: 60
dP_dfNeeds: 0.2
needsDays: 10
initialScore: 100
phaseLengthDays: 4
probDeathPoor: 0.6
probDeathOk: 0.2
probDeathGood: 0
grassR: 0.4
grassK: 200
grassE0: 5
showToggleButton: true
animalNeeds: 8
downThreshold: 0.6
upThreshold: 0.8
grassUndergroundFraction: 0.1
maxColorRain: 10
grass_1: 5
grass_2: 5
grass_3: 0
grass_4: 0
grass_5: 0
grass_6: 3
grass_7: 4
grass_8: 0
grass_9: 0
grass_10: 4
grass_11: 4
grass_12: 3
grass_13: 0
grass_14: 3
grass_15: 4
grass_16: 0
clim_1: 2
clim_2: 4
clim_3: 6
clim_4: 3
clim_5: 0
clim_6: 6
clim_7: 6
clim_8: 0
phase_1: P
phase_2: P
phase_3: P
phase_4: P
phase_5: P
phase_6: P
phase_7: P
phase_8: P

Choosing shared land at 10:29:25.654 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 3 3 at 10:31:22.428 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 0 2 at 10:31:30.836 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 1 4 at 10:31:30.964 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 0 5 at 10:31:31.599 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 2 5 at 10:31:31.886 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 5 at 10:31:32.294 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 4 at 10:31:32.612 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 2 at 10:31:32.918 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 3 0 at 10:31:33.532 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 0 0 at 10:31:34.425 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 1 at 10:31:35.240 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 2 at 10:31:35.470 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 3 at 10:31:36.116 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 4 at 10:31:36.465 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 0 0 at 10:31:36.598 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 5 at 10:31:37.072 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 0 at 10:31:37.998 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 1 at 10:31:38.331 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 2 at 10:31:38.731 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 4 at 10:31:39.079 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 5 at 10:31:39.600 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 5 at 10:31:40.684 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 4 at 10:31:40.820 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 2 at 10:31:41.472 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 1 at 10:31:41.693 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 0 at 10:31:41.965 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 0 at 10:31:42.607 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 2 0 at 10:31:42.614 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 1 at 10:31:42.884 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 2 at 10:31:43.231 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 3 at 10:31:43.638 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 4 at 10:31:43.961 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 5 at 10:31:44.339 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 0 0 at 10:31:45.155 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 2 0 at 10:31:45.317 AM 18-Oct-2021
Case 3.0 - Player 2 selected patch 5 0 at 10:31:48.883 AM 18-Oct-2021
Case 3.0 - Player 2 selected patch 5 1 at 10:31:54.779 AM 18-Oct-2021
Case 3.0 - Player 2 selected patch 4 1 at 10:31:57.203 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 4 4 at 10:31:57.278 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 3 5 at 10:31:58.928 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 4 4 at 10:32:02.744 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 5 5 at 10:32:03.078 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 3 5 at 10:32:03.747 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 0 at 10:32:04.320 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 1 at 10:32:05.119 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 2 at 10:32:05.394 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 3 at 10:32:05.727 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 4 at 10:32:06.039 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 5 at 10:32:06.852 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 4 at 10:32:07.090 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 3 at 10:32:07.675 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 2 at 10:32:08.195 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 0 at 10:32:09.154 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 3 0 at 10:32:11.067 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 3 0 at 10:32:28.635 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 4 0 at 10:32:28.927 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 4 1 at 10:32:29.123 AM 18-Oct-2021
Case 3.15 - Player 1 clicked confirm at 10:32:46.087 AM 18-Oct-2021
Case 3.15 - Player 4 clicked confirm at 10:32:46.168 AM 18-Oct-2021
Case 3.15 - Player 2 clicked confirm at 10:32:46.590 AM 18-Oct-2021
Case 3.15 - Player 3 clicked confirm at 10:32:46.703 AM 18-Oct-2021
Patch 5 5 shared
Patch 5 3 shared
Patch 4 4 shared
Patch 4 2 shared
Patch 4 5 shared
Patch 5 2 shared
Patch 4 3 shared
Patch 5 4 shared
Beginning pasture phases at 10:32:46.898 AM 18-Oct-2021
Case 3.5 - Player 2 viewing patch 2 0 at 10:33:00.048 AM 18-Oct-2021
Case 3.5 - Player 1 viewing patch 3 0 at 10:33:03.262 AM 18-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:33:05.787 AM 18-Oct-2021
Case 3.5 - Player 4 viewing patch 2 5 at 10:33:05.962 AM 18-Oct-2021
Case 3.5 - Player 4 viewing patch 2 5 at 10:33:07.562 AM 18-Oct-2021
Case 3.5 - Player 4 viewing patch 2 5 at 10:33:08.879 AM 18-Oct-2021
Case 3.10 - Player 1 assigned avatar to herd 1 at patch -2 3 at 10:33:09.382 AM 18-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:33:10.394 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 1 at 10:33:12.666 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 2 at 10:33:14.809 AM 18-Oct-2021
Case 3.10 - Player 4 assigned avatar to herd 1 at patch -2 4 at 10:33:16.772 AM 18-Oct-2021
Case 3.14 - Player 1 selecting patch 5 3 to move to at 10:33:17.069 AM 18-Oct-2021
